Title20,ISO_ABBREV,TITLE,ISSN,ISSUES/YEAR,COUNTRY,LANGUAGE,1ST_YR_PUB,categories,TOT_CITES,CITES_JCR_YR,CITES_JCR_YR1,CITES_JCR_YR2,IF_NUMERATOR,CITES_JCR_YR3,CITES_JCR_YR4,CITES_JCR_YR5,5YR_IF_NUMERATOR,ITEMS_JCR_YR,ITEMS_JCR_YR1,ITEMS_JCR_YR2,IF_DENOMINATOR,ITEMS_JCR_YR3,ITEMS_JCR_YR4,ITEMS_JCR_YR5,5YR_IF_DENOMINATOR,IMPACT_FACTOR,IMMEDIACY_INDEX,CITED_HALF_LIFE,5YR_IMPACT_FACTOR,EIGENFACTOR,NORMEIGENFACTOR,ARTL_INFLUENCE,FREQUENCY,PUBCODE,PUBLISHER_NAME,CATEGORY_CODE,CATEGORY_DESCRIPTION,CATEGORY_RANKING,QUARTILE_RANK,JIF_PERCENTILE
J PINEAL RES,J. Pineal Res.,JOURNAL OF PINEAL RESEARCH,0742-3098,8,DENMARK,ENGLISH,1984,IA RU UM,6914,208,758,872,1630,618,564,408,3220,87,87,88,175,92,99,85,451,9.314,2.391,6.1,7.140,0.00779,0.88752,1.142,B,FL501,WILEY-BLACKWELL,RU,NEUROSCIENCES,14/256,Q1,94.727
MOL AUTISM,Mol. Autism,Molecular Autism,2040-2392,0,ENGLAND,ENGLISH,2010,KM RU,847,58,232,274,506,99,93,90,788,63,57,45,102,18,19,13,152,4.961,0.921,2.5,5.184,0.00450,0.5124,1.956,I,FI745,BIOMED CENTRAL LTD,RU,NEUROSCIENCES,39/256,Q1,84.961
MOL CELL NEUROSCI,Mol. Cell. Neurosci.,MOLECULAR AND CELLULAR NEUROSCIENCE,1044-7431,6,USA,ENGLISH,1990,RU,6625,94,171,498,669,326,446,356,1797,99,79,107,186,87,142,121,536,3.597,0.949,9,3.353,0.01000,1.13928,1.233,B,AH001,ACADEMIC PRESS INC ELSEVIER SCIENCE,RU,NEUROSCIENCES,78/256,Q2,69.727
NEURAL COMPUT,Neural Comput.,NEURAL COMPUTATION,0899-7667,12,USA,ENGLISH,1989,EP RU,7931,21,132,198,330,242,203,197,972,93,99,104,203,114,108,113,538,1.626,0.226,>10,1.807,0.00773,0.88057,0.950,M,RA668,MIT PRESS,RU,NEUROSCIENCES,201/256,Q4,21.68
NEUROINFORMATICS,Neuroinformatics,NEUROINFORMATICS,1539-2791,4,USA,ENGLISH,2003,EV RU,899,28,82,107,189,69,139,51,448,31,34,32,66,25,24,20,135,2.864,0.903,5.5,3.319,0.00274,0.31223,1.342,Q,LS150,HUMANA PRESS INC,RU,NEUROSCIENCES,122/256,Q2,52.539
DERMATOL CLIN,Dermatol. Clin.,DERMATOLOGIC CLINICS,0733-8635,4,USA,ENGLISH,1983,GA,1586,27,66,129,195,132,116,169,612,59,51,53,104,60,85,95,344,1.875,0.458,7.8,1.779,0.00304,0.34706,0.585,Q,ZY601,W B SAUNDERS CO-ELSEVIER INC,GA,DERMATOLOGY,25/61,Q2,59.836
INT J COSMETIC SCI,Int. J. Cosmetic Sci.,INTERNATIONAL JOURNAL OF COSMETIC SCIENCE,0142-5463,6,ENGLAND,MULTI-LANGUAGE,1979,GA,1414,34,78,161,239,112,154,56,561,88,72,83,155,76,77,0,308,1.542,0.386,7.2,,0.00213,0.24276,,B,FL501,WILEY-BLACKWELL,GA,DERMATOLOGY,32/61,Q3,48.361
J AM ACAD DERMATOL,J. Am. Acad. Dermatol.,JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY,0190-9622,12,USA,ENGLISH,1979,GA,21849,302,1478,1411,2889,1501,1429,1098,6917,239,263,251,514,281,250,219,1264,5.621,1.264,9.5,5.472,0.03414,3.89132,1.786,M,RD275,MOSBY-ELSEVIER,GA,DERMATOLOGY,3/61,Q1,95.902
J WOUND CARE,J. Wound Care,Journal of Wound Care,0969-0700,12,ENGLAND,ENGLISH,1992,GA,1562,23,84,139,223,150,138,132,643,91,86,99,185,74,72,66,397,1.205,0.253,6.8,1.620,0.00253,0.28859,0.422,M,PX126,MA HEALTHCARE LTD,GA,DERMATOLOGY,46/61,Q4,25.41
PIGM CELL MELANOMA R,Pigment Cell Melanoma Res.,Pigment Cell & Melanoma Research,1755-1471,6,DENMARK,ENGLISH,2008,DM DR GA,4059,75,409,332,741,346,423,305,1815,56,91,87,178,68,74,63,383,4.163,1.339,6.6,4.739,0.00987,1.12504,1.704,B,FL501,WILEY-BLACKWELL,GA,DERMATOLOGY,6/61,Q1,90.984
